riddle,choice0,choice1,choice2,choice3,choice4,label
三思而后行 （歌曲名）,随大流,跟着感觉走,及时行乐,勇敢一点,做自己就好,2
黑缎子，白夹里，养儿养女泥窝里。 （打一动物）,树袋熊,黑熊,蜘蛛蟹,知了,狗熊,0
天天躲山洞，夜晚出来唧唧叫，从不做亏心事。 （打一动物）,四不象,狮子,鹅,鹿肉,蚕茧,3
满脸麻子骨头硬，一生爱找钢铁碰，为了铲除不平事，闹起摩擦不要命。 （打一工具）,锉刀,老虎钳,锯子,刃口,刮削,2
此曲只应天上有 （古代乐曲名）,月儿高,胡琴,月儿高,月儿高,月儿高,0
明火执仗 （打一称谓）,登科,局长,暴发户,农村姑娘,三陪小姐,2
规矩不对徒弟用 （打二字称谓）,在法庭上,警官,无罪辩护,书记员,律师,4
忘糟糠，可恨 （打一成语）,落井下石,井井有条,归于平淡,发恼,架秧子,0
眼睛好像珍珠豆，身穿五彩绣花袍，代代住在水晶宫，摇头摆尾乐淘淘。 （打一动物）,金鱼,小鸭子,蝌蚪,锦鲤,青蛙,0
地狱之门 （打成语一）,出生入死,在所不辞,刀口舔血,那些兄弟,忍辱负重,1
小烟卷一寸半，头冒青烟亮光闪，谁要真的爱上它，从此染上坏习惯。 （打一物）,水果糖,茶叶,香烟,大前门,红南京,2
不知今岁已除夕 （打成语一）,忘年之交,意气相投,情同手足,一见如故,谈得来,0
当了导游，十分高兴。 （打一成语）,无限崇拜,宣扬,瞧不起,高人一等,引以为荣,3
头戴桠杈冠，身穿毛布衫，领群娃子只叫唤。 （打一动物）,鸟儿,矮脚马,龙,大鲵,丹顶鹤,2
另选领导变新貌 （打一成语）,没精打采,遒劲,萝莉与大叔,娇滴滴,严惩不贷,0
一张尖嘴巴，长得像乌鸦，生来嘴巴巧，能学人说话。 （打一动物）,海马,鳗,水獭,泥蜂,鼠,4
工人挖渠 （打成语一）,彼此欣赏,相安无事,不如不见,一意孤行,阴盛阳衰,3
小河水，轻轻流，黑衣娃娃排队游，细细尾，大大头，长大捉虫是能手。 （打一动物）,蝌蚪,青蛙,蚯蚓,蜻蜓,飞虫,3
忽闻岸上踏歌声 （打一成语）,如痴如醉,名留青史,觊觎,心服口服,死心塌地,3
脱粒机（打一成语）,吞吞吐吐,吱吱唔唔,期期艾艾,支支吾吾,张口结舌,0
一比一百 （打三字俗语）,马后炮,信口开河,没出息,龌龊,拿来主义,0
后肢发达善跳跃，独吃皇粮有一绝。 （打一动物）,北极熊,雪兔,兔子,狗熊,马猴,4
她唱想要有个家 （外名著）,动物故事,伊索寓言,格林童话,聊斋志异,丧钟为谁而鸣,1
女 （打一成语）,元和圣德诗,如出一口,古之遗直,异哉,杂然相许,4
十里大集 （打一称谓）,人大主任,省委常委,一把手,市长,书记,3
